Asset ID,Operational Criticality,Expected Downtime Hours,Maintenance Cost,Labor Hours Required,Spare Parts Available
ASSET-001,1,67,7435,38,1
ASSET-002,4,55,10524,9,1
ASSET-003,4,29,10335,22,0
ASSET-004,3,70,7860,29,1
ASSET-005,3,32,13044,22,0
ASSET-006,5,26,9131,20,1
ASSET-007,1,66,2569,10,1
ASSET-008,4,29,11828,18,0
ASSET-011,3,58,9133,29,1
ASSET-009,2,9,9257,12,0
ASSET-012,5,17,8973,27,1
ASSET-013,4,35,2722,26,1
ASSET-010,1,36,10069,15,1
ASSET-015,4,51,12232,39,1
ASSET-016,4,36,5603,7,0
ASSET-014,4,12,9049,17,1
ASSET-019,5,42,6191,16,1
ASSET-021,3,68,14767,17,1
ASSET-020,3,50,7396,39,0
ASSET-017,3,26,9638,16,1
ASSET-022,2,34,4397,37,1
ASSET-018,1,19,1916,8,1
ASSET-023,1,15,5233,22,1
ASSET-024,5,61,7015,29,1
ASSET-025,4,47,14901,20,1
ASSET-026,4,52,13021,13,1
ASSET-027,3,10,1968,32,1
ASSET-028,5,25,4658,39,1
ASSET-029,3,56,12593,13,1
ASSET-030,3,61,2287,32,0
ASSET-031,3,34,13052,13,1
ASSET-032,2,59,5298,30,1
ASSET-033,1,62,13889,33,0
ASSET-034,3,30,5463,20,1
ASSET-035,5,65,7363,31,0
ASSET-036,1,23,10436,14,1
ASSET-037,5,20,3204,6,1
ASSET-038,5,51,9020,7,1
ASSET-039,2,47,8318,20,1
ASSET-040,4,13,12083,37,1
ASSET-041,1,61,14948,8,0
ASSET-042,4,17,10468,20,1
ASSET-043,4,59,7024,30,1
ASSET-044,2,4,6986,11,0
ASSET-045,1,58,7142,30,1
ASSET-046,5,58,12490,15,1
ASSET-047,3,57,5836,33,1
ASSET-048,5,49,3754,25,1
ASSET-049,4,36,6013,24,1
ASSET-050,4,52,1806,10,1
ASSET-051,4,23,2933,21,1
ASSET-052,1,57,2715,35,1
ASSET-053,2,42,11916,4,1
ASSET-054,3,35,11252,32,1
ASSET-055,3,38,10907,22,1
ASSET-056,1,43,7735,30,0
ASSET-057,3,6,11181,28,1
ASSET-058,1,13,3677,19,1
ASSET-059,4,20,13659,15,1
ASSET-060,4,11,8264,27,1
