Budget,Labor Hours Available,Assets Selected,Total Cost,Labor Used,Total Risk Addressed
60000,120,6,39435,114,104.08767676767677
60000,180,8,59443,176,106.45858585858586
60000,240,8,58347,188,106.50949494949495
60000,300,8,58347,188,106.50949494949495
90000,120,6,39435,114,104.08767676767677
90000,180,8,65694,177,106.46949494949494
90000,240,11,83656,236,107.76646464646464
90000,300,11,89697,259,107.99959595959595
120000,120,6,39435,114,104.08767676767677
120000,180,8,65694,177,106.46949494949494
120000,240,11,83656,236,107.76646464646464
120000,300,14,112571,300,108.59595959595957
150000,120,6,39435,114,104.08767676767677
150000,180,8,65694,177,106.46949494949494
150000,240,11,83656,236,107.76646464646464
150000,300,14,112571,300,108.59595959595957
