Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Actual Machine Failure,Estimated Failure Probability,Preliminary Risk Band,Asset ID,Operational Criticality,Expected Downtime Hours,Maintenance Cost,Labor Hours Required,Spare Parts Available,Criticality Normalized,Downtime Normalized,Consequence Index,Maintenance Risk Score,Maintenance Risk Score 0-100,Priority Rank,Priority Category,Selected for Maintenance
298.9,310.2,2737,8.8,142,L,1,0.8766666666666667,Very High,ASSET-001,1,67,7435,38,1,0.2,0.9545454545454546,0.5018181818181818,0.4399272727272728,43.99272727272728,1,High,1
302.6,311.6,1227,68.2,187,M,1,0.51,High,ASSET-002,4,55,10524,9,1,0.8,0.7727272727272727,0.7890909090909091,0.40243636363636365,40.24363636363636,2,High,1
299.4,310.8,1622,33.6,217,L,0,0.1633333333333333,Elevated,ASSET-004,3,70,7860,29,1,0.6,1.0,0.76,0.12413333333333332,12.413333333333332,4,Low,1
300.5,310.0,1358,60.4,102,H,0,0.0666666666666666,Low,ASSET-006,5,26,9131,20,1,1.0,0.3333333333333333,0.7333333333333333,0.048888888888888836,4.888888888888884,6,Low,1
297.6,309.4,1628,33.4,229,L,0,0.05,Low,ASSET-007,1,66,2569,10,1,0.2,0.9393939393939394,0.4957575757575758,0.02478787878787879,2.478787878787879,7,Low,1
303.9,313.2,1345,48.2,77,L,0,0.0166666666666666,Low,ASSET-011,3,58,9133,29,1,0.6,0.8181818181818182,0.6872727272727273,0.011454545454545408,1.1454545454545408,9,Low,1
299.0,310.2,1372,48.0,174,L,0,0.01,Low,ASSET-012,5,17,8973,27,1,1.0,0.19696969696969696,0.6787878787878787,0.006787878787878787,0.6787878787878787,11,Low,1
297.2,308.2,1405,42.5,204,M,0,0.01,Low,ASSET-013,4,35,2722,26,1,0.8,0.4696969696969697,0.6678787878787878,0.006678787878787879,0.6678787878787878,12,Low,1
300.2,310.2,1378,43.9,193,L,0,0.02,Low,ASSET-010,1,36,10069,15,1,0.2,0.48484848484848486,0.31393939393939396,0.006278787878787879,0.6278787878787879,13,Low,1
299.9,309.8,1400,48.7,119,H,0,0.0066666666666666,Low,ASSET-014,4,12,9049,17,1,0.8,0.12121212121212122,0.5284848484848484,0.003523232323232288,0.3523232323232288,16,Low,1
300.7,310.3,1369,50.7,12,H,0,0.0033333333333333,Low,ASSET-019,5,42,6191,16,1,1.0,0.5757575757575758,0.8303030303030303,0.00276767676767674,0.276767676767674,17,Low,1
