Asset ID,Criticality Weight 0.2,Criticality Weight 0.4,Criticality Weight 0.5,Criticality Weight 0.6,Criticality Weight 0.8,Minimum Rank,Maximum Rank,Rank Range
ASSET-010,10,10,10,13,14,10,14,4
ASSET-012,15,13,13,11,11,11,15,4
ASSET-009,13,12,12,10,10,10,13,3
ASSET-014,19,17,16,16,16,16,19,3
ASSET-021,16,16,18,18,18,16,18,2
ASSET-020,17,19,19,19,19,17,19,2
ASSET-015,12,14,14,14,13,12,14,2
ASSET-007,6,7,7,7,8,6,8,2
ASSET-004,3,4,4,4,4,3,4,1
ASSET-003,4,3,3,3,3,3,4,1
ASSET-002,2,2,2,2,1,1,2,1
ASSET-001,1,1,1,1,2,1,2,1
ASSET-022,20,21,21,21,21,20,21,1
ASSET-017,21,20,20,20,20,20,21,1
ASSET-008,8,8,8,8,7,7,8,1
ASSET-006,7,6,6,6,6,6,7,1
ASSET-016,14,15,15,15,15,14,15,1
ASSET-013,11,11,11,12,12,11,12,1
ASSET-019,18,18,17,17,17,17,18,1
ASSET-005,5,5,5,5,5,5,5,0
ASSET-011,9,9,9,9,9,9,9,0
ASSET-018,22,22,22,22,22,22,22,0
ASSET-023,23,23,23,23,23,23,23,0
ASSET-024,24,24,24,24,24,24,24,0
ASSET-025,25,25,25,25,25,25,25,0
ASSET-026,26,26,26,26,26,26,26,0
ASSET-027,27,27,27,27,27,27,27,0
ASSET-028,28,28,28,28,28,28,28,0
ASSET-029,29,29,29,29,29,29,29,0
ASSET-030,30,30,30,30,30,30,30,0
ASSET-031,31,31,31,31,31,31,31,0
ASSET-032,32,32,32,32,32,32,32,0
ASSET-033,33,33,33,33,33,33,33,0
ASSET-034,34,34,34,34,34,34,34,0
ASSET-035,35,35,35,35,35,35,35,0
ASSET-036,36,36,36,36,36,36,36,0
ASSET-037,37,37,37,37,37,37,37,0
ASSET-038,38,38,38,38,38,38,38,0
ASSET-039,39,39,39,39,39,39,39,0
ASSET-040,40,40,40,40,40,40,40,0
ASSET-041,41,41,41,41,41,41,41,0
ASSET-042,42,42,42,42,42,42,42,0
ASSET-043,43,43,43,43,43,43,43,0
ASSET-044,44,44,44,44,44,44,44,0
ASSET-045,45,45,45,45,45,45,45,0
ASSET-046,46,46,46,46,46,46,46,0
ASSET-047,47,47,47,47,47,47,47,0
ASSET-048,48,48,48,48,48,48,48,0
ASSET-049,49,49,49,49,49,49,49,0
ASSET-050,50,50,50,50,50,50,50,0
ASSET-051,51,51,51,51,51,51,51,0
ASSET-052,52,52,52,52,52,52,52,0
ASSET-053,53,53,53,53,53,53,53,0
ASSET-054,54,54,54,54,54,54,54,0
ASSET-055,55,55,55,55,55,55,55,0
ASSET-056,56,56,56,56,56,56,56,0
ASSET-057,57,57,57,57,57,57,57,0
ASSET-058,58,58,58,58,58,58,58,0
ASSET-059,59,59,59,59,59,59,59,0
ASSET-060,60,60,60,60,60,60,60,0
