Criticality Weight,Downtime Weight,Asset ID,Risk Score,Rank
0.2,0.8,ASSET-001,70.45212121212123,1
0.2,0.8,ASSET-002,39.68727272727273,2
0.2,0.8,ASSET-004,15.026666666666664,3
0.2,0.8,ASSET-003,11.73010101010101,4
0.2,0.8,ASSET-005,5.053333333333334,5
0.2,0.8,ASSET-007,3.9575757575757584,6
0.2,0.8,ASSET-006,3.111111111111108,7
0.2,0.8,ASSET-008,1.6977777777777747,8
0.2,0.8,ASSET-011,1.290909090909086,9
0.2,0.8,ASSET-010,0.855757575757576,10
0.2,0.8,ASSET-013,0.5357575757575759,11
0.2,0.8,ASSET-015,0.4864646464646416,12
0.2,0.8,ASSET-009,0.37494949494949403,13
0.2,0.8,ASSET-016,0.36525252525252166,14
0.2,0.8,ASSET-012,0.3575757575757576,15
0.2,0.8,ASSET-021,0.2985858585858557,16
0.2,0.8,ASSET-020,0.22585858585858362,17
0.2,0.8,ASSET-019,0.22020202020201804,18
0.2,0.8,ASSET-014,0.17131313131312964,19
0.2,0.8,ASSET-022,0.14787878787878642,20
0.2,0.8,ASSET-017,0.1288888888888876,21
0.2,0.8,ASSET-018,0.07393939393939321,22
0.2,0.8,ASSET-023,0.0,23
0.2,0.8,ASSET-024,0.0,24
0.2,0.8,ASSET-025,0.0,25
0.2,0.8,ASSET-026,0.0,26
0.2,0.8,ASSET-027,0.0,27
0.2,0.8,ASSET-028,0.0,28
0.2,0.8,ASSET-029,0.0,29
0.2,0.8,ASSET-030,0.0,30
0.2,0.8,ASSET-031,0.0,31
0.2,0.8,ASSET-032,0.0,32
0.2,0.8,ASSET-033,0.0,33
0.2,0.8,ASSET-034,0.0,34
0.2,0.8,ASSET-035,0.0,35
0.2,0.8,ASSET-036,0.0,36
0.2,0.8,ASSET-037,0.0,37
0.2,0.8,ASSET-038,0.0,38
0.2,0.8,ASSET-039,0.0,39
0.2,0.8,ASSET-040,0.0,40
0.2,0.8,ASSET-041,0.0,41
0.2,0.8,ASSET-042,0.0,42
0.2,0.8,ASSET-043,0.0,43
0.2,0.8,ASSET-044,0.0,44
0.2,0.8,ASSET-045,0.0,45
0.2,0.8,ASSET-046,0.0,46
0.2,0.8,ASSET-047,0.0,47
0.2,0.8,ASSET-048,0.0,48
0.2,0.8,ASSET-049,0.0,49
0.2,0.8,ASSET-050,0.0,50
0.2,0.8,ASSET-051,0.0,51
0.2,0.8,ASSET-052,0.0,52
0.2,0.8,ASSET-053,0.0,53
0.2,0.8,ASSET-054,0.0,54
0.2,0.8,ASSET-055,0.0,55
0.2,0.8,ASSET-056,0.0,56
0.2,0.8,ASSET-057,0.0,57
0.2,0.8,ASSET-058,0.0,58
0.2,0.8,ASSET-059,0.0,59
0.2,0.8,ASSET-060,0.0,60
0.4,0.6,ASSET-001,57.22242424242425,1
0.4,0.6,ASSET-002,39.96545454545455,2
0.4,0.6,ASSET-003,13.864242424242423,3
0.4,0.6,ASSET-004,13.719999999999995,4
0.4,0.6,ASSET-005,5.4399999999999995,5
0.4,0.6,ASSET-006,3.999999999999996,6
0.4,0.6,ASSET-007,3.218181818181818,7
0.4,0.6,ASSET-008,2.0066666666666633,8
0.4,0.6,ASSET-011,1.2181818181818134,9
0.4,0.6,ASSET-010,0.7418181818181818,10
0.4,0.6,ASSET-013,0.6018181818181818,11
0.4,0.6,ASSET-009,0.5478787878787866,12
0.4,0.6,ASSET-012,0.5181818181818182,13
0.4,0.6,ASSET-015,0.49818181818181323,14
0.4,0.6,ASSET-016,0.40727272727272323,15
0.4,0.6,ASSET-021,0.2739393939393912,16
0.4,0.6,ASSET-014,0.26181818181817923,17
0.4,0.6,ASSET-019,0.248484848484846,18
0.4,0.6,ASSET-020,0.21939393939393723,19
0.4,0.6,ASSET-017,0.1466666666666652,20
0.4,0.6,ASSET-022,0.1442424242424228,21
0.4,0.6,ASSET-018,0.0721212121212114,22
0.4,0.6,ASSET-023,0.0,23
0.4,0.6,ASSET-024,0.0,24
0.4,0.6,ASSET-025,0.0,25
0.4,0.6,ASSET-026,0.0,26
0.4,0.6,ASSET-027,0.0,27
0.4,0.6,ASSET-028,0.0,28
0.4,0.6,ASSET-029,0.0,29
0.4,0.6,ASSET-030,0.0,30
0.4,0.6,ASSET-031,0.0,31
0.4,0.6,ASSET-032,0.0,32
0.4,0.6,ASSET-033,0.0,33
0.4,0.6,ASSET-034,0.0,34
0.4,0.6,ASSET-035,0.0,35
0.4,0.6,ASSET-036,0.0,36
0.4,0.6,ASSET-037,0.0,37
0.4,0.6,ASSET-038,0.0,38
0.4,0.6,ASSET-039,0.0,39
0.4,0.6,ASSET-040,0.0,40
0.4,0.6,ASSET-041,0.0,41
0.4,0.6,ASSET-042,0.0,42
0.4,0.6,ASSET-043,0.0,43
0.4,0.6,ASSET-044,0.0,44
0.4,0.6,ASSET-045,0.0,45
0.4,0.6,ASSET-046,0.0,46
0.4,0.6,ASSET-047,0.0,47
0.4,0.6,ASSET-048,0.0,48
0.4,0.6,ASSET-049,0.0,49
0.4,0.6,ASSET-050,0.0,50
0.4,0.6,ASSET-051,0.0,51
0.4,0.6,ASSET-052,0.0,52
0.4,0.6,ASSET-053,0.0,53
0.4,0.6,ASSET-054,0.0,54
0.4,0.6,ASSET-055,0.0,55
0.4,0.6,ASSET-056,0.0,56
0.4,0.6,ASSET-057,0.0,57
0.4,0.6,ASSET-058,0.0,58
0.4,0.6,ASSET-059,0.0,59
0.4,0.6,ASSET-060,0.0,60
0.5,0.5,ASSET-001,50.60757575757576,1
0.5,0.5,ASSET-002,40.10454545454545,2
0.5,0.5,ASSET-003,14.931313131313129,3
0.5,0.5,ASSET-004,13.066666666666665,4
0.5,0.5,ASSET-005,5.633333333333333,5
0.5,0.5,ASSET-006,4.444444444444439,6
0.5,0.5,ASSET-007,2.8484848484848486,7
0.5,0.5,ASSET-008,2.161111111111107,8
0.5,0.5,ASSET-011,1.1818181818181772,9
0.5,0.5,ASSET-010,0.6848484848484848,10
0.5,0.5,ASSET-013,0.6348484848484849,11
0.5,0.5,ASSET-009,0.6343434343434328,12
0.5,0.5,ASSET-012,0.5984848484848485,13
0.5,0.5,ASSET-015,0.504040404040399,14
0.5,0.5,ASSET-016,0.42828282828282405,15
0.5,0.5,ASSET-014,0.30707070707070405,16
